Date, Hveg, thres_veg_1, thres_veg_2, LSAI, canopy fraction, decay coeff, snow burial coeff, root depth, min stomatal res
04/10/2009 00:00,100.00,  0.00,  0.00,  1.00,  0.39,  2.50,  1.00,300.00, 30.00
05/10/2009 00:00, 49.94,  0.00,  0.00,  0.50,  0.22,  2.50,  1.00,300.00, 30.00
06/10/2009 00:00, 46.51,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
07/10/2009 00:00, 46.49,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
08/10/2009 00:00, 46.68,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
09/10/2009 00:00, 46.06,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
10/10/2009 00:00, 45.54,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
11/10/2009 00:00, 46.14,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
12/10/2009 00:00, 46.66,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
13/10/2009 00:00, 46.18,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
14/10/2009 00:00, 45.59,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
15/10/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
16/10/2009 00:00, 44.94,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
17/10/2009 00:00, 45.59,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
18/10/2009 00:00, 45.13,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
19/10/2009 00:00, 44.96,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
20/10/2009 00:00, 45.06,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
21/10/2009 00:00, 44.91,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
22/10/2009 00:00, 45.25,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
23/10/2009 00:00, 45.34,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
24/10/2009 00:00, 46.02,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
25/10/2009 00:00, 47.16,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
26/10/2009 00:00, 47.54,  0.00,  0.00,  0.48,  0.21,  2.50,  1.00,300.00, 30.00
27/10/2009 00:00, 47.32,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
28/10/2009 00:00, 47.15,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
29/10/2009 00:00, 47.17,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
30/10/2009 00:00, 47.36,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
31/10/2009 00:00, 47.00,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
01/11/2009 00:00, 46.35,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
02/11/2009 00:00, 46.91,  0.00,  0.00,  0.47,  0.21,  2.50,  1.00,300.00, 30.00
03/11/2009 00:00, 45.19,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
04/11/2009 00:00, 46.12,  0.00,  0.00,  0.46,  0.21,  2.50,  1.00,300.00, 30.00
05/11/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
06/11/2009 00:00, 44.92,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
07/11/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
08/11/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
09/11/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
10/11/2009 00:00, 44.90,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
11/11/2009 00:00, 45.08,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
12/11/2009 00:00, 44.98,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
13/11/2009 00:00, 45.01,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
14/11/2009 00:00, 45.36,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
15/11/2009 00:00, 45.08,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
16/11/2009 00:00, 45.21,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
17/11/2009 00:00, 45.07,  0.00,  0.00,  0.45,  0.20,  2.50,  1.00,300.00, 30.00
18/11/2009 00:00, 45.51,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
19/11/2009 00:00, 45.62,  0.00,  0.00,  0.46,  0.20,  2.50,  1.00,300.00, 30.00
