Date,Iprec,WindSp,WindDir,RelHum,AirT,Swglobal
04/10/2009 00:00,0,1.44,37.68,80.36,7.65,0
04/10/2009 01:00,0,0.81,17.71,78.77,7.95,0
04/10/2009 02:00,0,1.4,40.26,81.87,7.37,0
04/10/2009 03:00,0,2.46,48.6,84.43,6.43,0
04/10/2009 04:00,0,2.39,48.38,84.9,6.33,0
04/10/2009 05:00,0,2.19,48.95,84.98,6.28,0
04/10/2009 06:00,0,2.41,48.6,85.48,5.88,0.03
04/10/2009 07:00,0,2.59,48.98,84.9,5.63,8.72
04/10/2009 08:00,0,2.17,47.83,77,6.24,66.9
04/10/2009 09:00,0,0.76,108.12,65.35,9.48,290.58
04/10/2009 10:00,0,0.93,178.9,63.4,11.21,423.7
04/10/2009 11:00,0,1.24,181.09,61.96,11.8,519.83
04/10/2009 12:00,0,1.78,198.22,63.97,12.3,569.88
04/10/2009 13:00,0,2.44,199.45,62.19,12.51,570.7
04/10/2009 14:00,0,2.68,206.85,66.63,13.1,520.3
04/10/2009 15:00,0,2.24,212.18,66.25,13.8,425.85
04/10/2009 16:00,0,1.85,212.25,61.74,14.12,298.8
04/10/2009 17:00,0,1.42,218.88,64.3,13.66,153.53
04/10/2009 18:00,0,1.31,227.65,71.81,11.78,24.56
04/10/2009 19:00,0,1.83,34.16,73.94,10.46,0.48
04/10/2009 20:00,0,2.53,45.82,75.76,9.67,0
04/10/2009 21:00,0,2.46,48.18,77.88,9.34,0
04/10/2009 22:00,0,2.19,49.28,79.7,8.94,0
04/10/2009 23:00,0,2.43,46.65,80.43,8.57,0
05/10/2009 00:00,0,2.28,48.93,81.5,8.45,0
05/10/2009 01:00,0,1.91,48.99,82.7,8.25,0
05/10/2009 02:00,0,2.35,49.11,84.13,7.87,0
05/10/2009 03:00,0,2.26,47.53,83.2,7.61,0
05/10/2009 04:00,0,2.37,48.05,83.03,7.33,0
05/10/2009 05:00,0,2.42,48.65,82.28,7.11,0
05/10/2009 06:00,0,2.35,47.8,80.47,6.94,0.03
05/10/2009 07:00,0,2.13,47.67,81.4,6.91,9.01
05/10/2009 08:00,0,1.9,48.67,81.49,7.3,62.86
05/10/2009 09:00,0,0.8,151.38,71.35,9.75,275.75
05/10/2009 10:00,0,1.08,203.1,71.64,10.23,405.6
05/10/2009 11:00,0,1.44,222.12,71.21,10.78,498.13
05/10/2009 12:00,0,1.97,213.52,72.54,11.74,554.83
05/10/2009 13:00,0,2.18,224.95,76.08,12.09,434.35
05/10/2009 14:00,0,2.71,220.84,69.68,13.18,454.33
05/10/2009 15:00,0,1.93,236.13,67.58,13.31,278.48
05/10/2009 16:00,0,1.54,280.2,73.58,12.28,134.9
05/10/2009 17:00,0,1.26,262.31,77.76,11.75,94.83
05/10/2009 18:00,0,0.86,147.45,81.75,10.76,20.36
05/10/2009 19:00,0,1.48,20.03,81.88,10.14,0.28
05/10/2009 20:00,0,1.46,26.43,82.85,10.04,0
05/10/2009 21:00,0,1.58,30.4,83.6,9.9,0
05/10/2009 22:00,0,1.1,32.42,83.4,10.18,0
05/10/2009 23:00,0,1.94,42.83,85.13,9.71,0
06/10/2009 00:00,0,2.04,48.53,86.5,9.17,0
06/10/2009 01:00,0,1.89,47.17,86.33,8.86,0
06/10/2009 02:00,0,1.59,52.5,87.85,8.88,0
06/10/2009 03:00,0,1.17,46.24,87.45,9.5,0
06/10/2009 04:00,0,2,47.75,87.5,9.2,0
06/10/2009 05:00,0,2.17,47.82,87.08,8.41,0
06/10/2009 06:00,0,2.4,49.35,86.15,8.22,0
06/10/2009 07:00,0,2.27,48.03,85.63,8.19,10.71
06/10/2009 08:00,0,1.1,68.55,84.3,8.92,80.71
06/10/2009 09:00,0,0.52,181.83,79.48,10.6,214.33
06/10/2009 10:00,0,1,204.13,78.12,11.19,347.1
06/10/2009 11:00,0,1.38,220.48,76.08,11.97,513.83
06/10/2009 12:00,0,1.92,211.12,75.46,13.02,574.13
06/10/2009 13:00,0,1.73,214.34,76.24,13.34,465
06/10/2009 14:00,0,1.63,232.76,75.87,14.04,457.28
06/10/2009 15:00,0,1.92,222.29,77.87,14.76,374.75
06/10/2009 16:00,0,1.02,243.34,78.21,13.94,134.05
06/10/2009 17:00,0,0.89,293.57,78.05,13.53,64.17
06/10/2009 18:00,0,1.03,348.33,79.96,13.06,9.54
06/10/2009 19:00,0,1.08,98.48,80.23,12.78,0
06/10/2009 20:00,0,1.25,32.25,81.7,12.29,0
06/10/2009 21:00,0,1.48,45.48,83.78,11.85,0
06/10/2009 22:00,0,0.9,30.96,85.63,11.94,0
06/10/2009 23:00,0,0.54,83.49,87.8,11.8,0
07/10/2009 00:00,0,0.77,96.44,89.05,11.57,0
07/10/2009 01:00,0,0.8,187.88,88.85,11.41,0
07/10/2009 02:00,0,0.86,23.59,88.8,11.25,0
07/10/2009 03:00,0,0.97,48.33,86.85,11.32,0
07/10/2009 04:00,0,1.3,41.38,85.3,11.21,0
07/10/2009 05:00,0,1.74,50.16,84.4,10.54,0
07/10/2009 06:00,0,1.87,48.38,83.38,10.29,0
07/10/2009 07:00,0,1.93,49.96,83.18,10.24,10.11
07/10/2009 08:00,0,1.56,51.53,79.48,10.79,59.42
07/10/2009 09:00,0,0.96,146.36,74.41,12.77,264.03
07/10/2009 10:00,0,1.21,197.74,76.96,13.01,396.18
07/10/2009 11:00,0,1.2,223.11,76.82,13.68,491.38
07/10/2009 12:00,0,1.76,211.61,75.13,14.85,539.7
07/10/2009 13:00,0,2.17,203.03,71.46,15.83,526.4
07/10/2009 14:00,0,1.82,216.36,70.12,16.85,467.05
07/10/2009 15:00,0,1.77,217.53,71.12,16.59,340.38
07/10/2009 16:00,0,1.89,212.99,72.08,16.54,255.23
07/10/2009 17:00,0,1.5,224.39,74.51,16.09,130.2
07/10/2009 18:00,0,1.4,159.35,79.94,14.5,17.92
07/10/2009 19:00,0,1.46,12.91,84.2,13.48,0
07/10/2009 20:00,0,0.89,183.53,88.08,13.06,0
07/10/2009 21:00,0,0.38,176.67,89.1,12.96,0
07/10/2009 22:00,0,0.52,182.75,90.45,12.72,0
07/10/2009 23:00,0,0.6,253.14,91.58,12.34,0
08/10/2009 00:00,0,0.88,232.04,93.23,12.11,0
08/10/2009 01:00,0,0.62,324.07,94,11.9,0
08/10/2009 02:00,0,0.76,321.16,95.5,11.73,0
08/10/2009 03:00,0,0.74,210.84,98,11.55,0
08/10/2009 04:00,0,0.86,321.64,99.03,11.44,0
08/10/2009 05:00,0,0.65,311.11,99.23,11.36,0
08/10/2009 06:00,0,0.53,277.69,99.43,11.35,0
08/10/2009 07:00,0,1.13,115.47,95.35,10.98,8.46
08/10/2009 08:00,0,0.67,98.24,92.58,11.18,30.93
08/10/2009 09:00,0,0.6,216.27,96.95,11.4,74.65
