Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
04/10/2009 09:00,24.755361,127.124024,0.418745,290.580000,248.827442,0.434890,1.000000
04/10/2009 10:00,32.080303,141.989629,0.531107,423.700000,342.923192,0.472535,1.000000
04/10/2009 11:00,37.135061,159.136416,0.603696,519.830000,408.011491,0.494610,1.000000
04/10/2009 12:00,39.164530,178.024619,0.631549,569.880000,428.377408,0.496384,1.000000
04/10/2009 13:00,37.789107,197.093282,0.612757,570.700000,412.360928,0.492467,1.000000
04/10/2009 14:00,33.270151,214.656208,0.548587,520.300000,345.800810,0.461272,1.000000
04/10/2009 15:00,26.321260,229.956337,0.443404,425.850000,252.234595,0.416266,1.000000
04/10/2009 16:00,17.719973,243.185790,0.304365,298.800000,143.474228,0.344933,1.000000
05/10/2009 09:00,24.474658,127.427708,0.414291,275.750000,239.068901,0.422078,1.000000
05/10/2009 10:00,31.763047,142.264245,0.526408,405.600000,334.539908,0.464825,1.000000
05/10/2009 11:00,36.779544,159.347870,0.598738,498.130000,397.571124,0.485659,1.000000
05/10/2009 12:00,38.780451,178.135179,0.626338,554.830000,415.943423,0.485700,1.000000
05/10/2009 13:00,37.395584,197.089934,0.607315,434.350000,392.613028,0.472806,1.000000
05/10/2009 14:00,32.884895,214.560686,0.542953,454.330000,337.102078,0.454067,1.000000
05/10/2009 15:00,25.952723,229.802913,0.437629,278.480000,248.240878,0.414837,1.000000
05/10/2009 16:00,17.368252,243.001000,0.298512,134.900000,136.429327,0.334230,0.988052
06/10/2009 09:00,24.193003,127.727763,0.409812,214.330000,225.772177,0.402721,0.952401
06/10/2009 10:00,31.445161,142.534510,0.521682,347.100000,319.503863,0.447690,1.000000
06/10/2009 11:00,36.424012,159.554777,0.593756,513.830000,381.339419,0.469462,1.000000
06/10/2009 12:00,38.397079,178.242053,0.621108,574.130000,400.700239,0.471562,1.000000
06/10/2009 13:00,37.003294,197.084450,0.601861,465.000000,380.841862,0.462513,1.000000
06/10/2009 14:00,32.501119,214.464259,0.537316,457.280000,321.226278,0.436965,1.000000
06/10/2009 15:00,25.585787,229.649105,0.431862,374.750000,228.175221,0.386169,1.000000
06/10/2009 16:00,17.018249,242.815857,0.292676,134.050000,124.679902,0.311353,1.000000
