Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
27/11/2009 10:00,16.684809,149.594234,0.287107,48.200000,264.992767,0.656898,0.183005
27/11/2009 11:00,20.762906,163.734386,0.354502,108.100000,340.950279,0.684500,0.318900
27/11/2009 12:00,22.331977,178.688437,0.379972,211.480000,370.363943,0.693698,0.574260
27/11/2009 13:00,21.209684,193.711215,0.361782,398.750000,349.488429,0.687501,1.000000
27/11/2009 14:00,17.527775,208.024957,0.301168,331.630000,280.482081,0.662792,1.000000
28/11/2009 10:00,16.486952,149.590635,0.283797,178.850000,263.288134,0.660046,0.683489
28/11/2009 11:00,20.568885,163.693998,0.351333,295.850000,339.925439,0.688349,0.875440
28/11/2009 12:00,22.148908,178.608521,0.377015,354.280000,369.621410,0.697488,0.963993
28/11/2009 13:00,21.044398,193.595851,0.359091,363.000000,348.621480,0.690687,1.000000
28/11/2009 14:00,17.384420,207.883295,0.298781,313.000000,279.574468,0.665686,1.000000
29/11/2009 10:00,16.294488,149.582400,0.280574,49.110000,257.881071,0.653687,0.191623
29/11/2009 11:00,20.380939,163.650027,0.348260,27.770000,334.197373,0.682482,0.100000
29/11/2009 12:00,21.972433,178.526398,0.374160,44.240000,363.853563,0.691599,0.122290
29/11/2009 13:00,20.885975,193.479748,0.356509,53.120000,343.750401,0.685728,0.155438
29/11/2009 14:00,17.247963,207.742187,0.296508,58.220000,275.805401,0.661516,0.212393
30/11/2009 10:00,16.107516,149.569582,0.277441,11.350000,254.795759,0.652937,0.100000
30/11/2009 11:00,20.199159,163.602536,0.345284,16.760000,331.164890,0.681884,0.100000
30/11/2009 12:00,21.802628,178.442139,0.371410,15.060000,360.810269,0.690656,0.100000
30/11/2009 13:00,20.734479,193.362980,0.354038,16.870000,340.678623,0.684111,0.100000
30/11/2009 14:00,17.118455,207.601712,0.294348,16.760000,272.992731,0.659348,0.100000
01/12/2009 10:00,15.926132,149.552232,0.274398,42.600000,251.864462,0.652365,0.170210
01/12/2009 11:00,20.023630,163.551591,0.342408,107.110000,328.746877,0.682364,0.327767
01/12/2009 12:00,21.639568,178.355814,0.368767,128.680000,358.306176,0.690550,0.361239
01/12/2009 13:00,20.589970,193.245620,0.351678,110.250000,340.246629,0.687599,0.325957
01/12/2009 14:00,16.995942,207.461948,0.292304,83.640000,272.332591,0.662133,0.309047
02/12/2009 10:00,15.750431,149.530404,0.271448,174.220000,252.017239,0.659640,0.695716
02/12/2009 11:00,19.854436,163.497256,0.339632,322.630000,329.313396,0.688903,0.985616
02/12/2009 12:00,21.483322,178.267495,0.366230,328.350000,359.903302,0.698204,0.917701
02/12/2009 13:00,20.452506,193.127745,0.349431,324.900000,340.473632,0.692257,0.959967
02/12/2009 14:00,16.880471,207.322977,0.290376,264.030000,273.056390,0.668084,0.973038
03/12/2009 10:00,15.580505,149.504150,0.268592,162.260000,248.521368,0.657197,0.657102
03/12/2009 11:00,19.691658,163.439596,0.336958,232.600000,326.010207,0.687187,0.717809
03/12/2009 12:00,21.333961,178.177252,0.363803,345.230000,356.974461,0.696922,0.972831
03/12/2009 13:00,20.322144,193.009429,0.347298,349.330000,337.809495,0.690840,1.000000
03/12/2009 14:00,16.772083,207.184878,0.288565,317.850000,270.656170,0.666157,1.000000
04/12/2009 10:00,15.416442,149.473527,0.265833,23.270000,243.263285,0.649770,0.100000
04/12/2009 11:00,19.535376,163.378676,0.334389,33.030000,320.497140,0.680547,0.103689
04/12/2009 12:00,21.191551,178.085158,0.361487,30.630000,351.407309,0.690237,0.100000
04/12/2009 13:00,20.198935,192.890746,0.345281,40.250000,332.684863,0.684125,0.121719
04/12/2009 14:00,16.670818,207.047731,0.286873,84.040000,266.389922,0.659323,0.317492
05/12/2009 10:00,15.258330,149.438588,0.263171,126.600000,243.066322,0.655613,0.524245
05/12/2009 11:00,19.385665,163.314564,0.331925,231.280000,321.357284,0.687234,0.724125
05/12/2009 12:00,21.056153,177.991282,0.359283,293.530000,353.005495,0.697423,0.836500
05/12/2009 13:00,20.082931,192.771772,0.343380,274.230000,334.475273,0.691409,0.824871
05/12/2009 14:00,16.576713,206.911616,0.285299,251.780000,267.583306,0.665732,0.946986
06/12/2009 10:00,15.106252,149.399392,0.260610,111.430000,238.462828,0.649330,0.470354
06/12/2009 11:00,19.242599,163.247324,0.329569,172.050000,316.030652,0.680478,0.547781
06/12/2009 12:00,20.927830,177.895698,0.357192,189.900000,347.715349,0.690793,0.549430
06/12/2009 13:00,19.974179,192.652582,0.341597,207.180000,329.769619,0.685042,0.632104
06/12/2009 14:00,16.489801,206.776613,0.283845,150.930000,264.129125,0.660315,0.575118
07/12/2009 10:00,14.960291,149.355993,0.258150,102.020000,234.742252,0.645110,0.437477
07/12/2009 11:00,19.106247,163.177025,0.327321,136.750000,312.470544,0.677243,0.440368
07/12/2009 12:00,20.806639,177.798475,0.355215,183.880000,344.274236,0.687570,0.537349
07/12/2009 13:00,19.872723,192.533249,0.339932,194.530000,326.540275,0.681466,0.599399
07/12/2009 14:00,16.410114,206.642801,0.282511,161.580000,261.549020,0.656768,0.621795
08/12/2009 10:00,14.820524,149.308452,0.255792,21.200000,231.231111,0.641144,0.100000
08/12/2009 11:00,18.976677,163.103731,0.325183,36.030000,309.599839,0.675249,0.117105
08/12/2009 12:00,20.692634,177.699686,0.353355,70.960000,342.257211,0.686956,0.208593
08/12/2009 13:00,19.778604,192.413851,0.338387,197.380000,325.383221,0.681968,0.610360
08/12/2009 14:00,16.337680,206.510260,0.281298,163.500000,260.923493,0.657846,0.630712
09/12/2009 10:00,14.687029,149.256825,0.253539,143.960000,233.181197,0.652126,0.621506
09/12/2009 11:00,18.853955,163.027511,0.323157,282.480000,312.850561,0.686438,0.908601
09/12/2009 12:00,20.585867,177.599403,0.351611,345.150000,346.022073,0.697775,1.000000
09/12/2009 13:00,19.691862,192.294460,0.336962,364.400000,329.290334,0.692895,1.000000
09/12/2009 14:00,16.272524,206.379069,0.280206,319.580000,263.538373,0.666853,1.000000
10/12/2009 10:00,14.559877,149.201173,0.251392,119.410000,231.654334,0.653225,0.518936
10/12/2009 11:00,18.738140,162.948431,0.321243,152.230000,310.806689,0.685843,0.492885
10/12/2009 12:00,20.486387,177.497696,0.349985,158.430000,342.894911,0.694506,0.464873
10/12/2009 13:00,19.612531,192.175152,0.335658,215.800000,325.365898,0.687124,0.667387
10/12/2009 14:00,16.214667,206.249306,0.279237,138.400000,259.803729,0.659520,0.536220
11/12/2009 10:00,14.439139,149.141555,0.249351,129.480000,228.704306,0.650025,0.569975
11/12/2009 11:00,18.629293,162.866560,0.319444,276.280000,309.141267,0.685845,0.899374
11/12/2009 12:00,20.394241,177.394638,0.348478,328.730000,343.116995,0.697793,0.963971
11/12/2009 13:00,19.540645,192.056001,0.334475,260.730000,326.014423,0.690761,0.804749
11/12/2009 14:00,16.164130,206.121051,0.278390,276.450000,261.480022,0.665635,1.000000
12/12/2009 10:00,14.324882,149.078033,0.247420,147.950000,226.368996,0.648260,0.658020
12/12/2009 11:00,18.527468,162.781964,0.317759,257.130000,307.641166,0.685976,0.841138
12/12/2009 12:00,20.309470,177.290299,0.347091,227.250000,341.887324,0.697909,0.668801
12/12/2009 13:00,19.476233,191.937082,0.333416,234.450000,325.458299,0.691614,0.724887
12/12/2009 14:00,16.120927,205.994380,0.277666,159.200000,261.336867,0.666851,0.613219
13/12/2009 10:00,14.217171,149.010667,0.245598,51.110000,224.724961,0.648181,0.228986
13/12/2009 11:00,18.432719,162.694713,0.316191,125.730000,305.026724,0.683368,0.414831
13/12/2009 12:00,20.232114,177.184752,0.345824,258.400000,339.987792,0.696418,0.764742
13/12/2009 13:00,19.419322,191.818468,0.332479,198.980000,325.221342,0.692903,0.615677
13/12/2009 14:00,16.085073,205.869372,0.277064,236.780000,261.465422,0.668479,0.911617
14/12/2009 10:00,14.116066,148.939521,0.243887,122.950000,223.880724,0.650138,0.552940
14/12/2009 11:00,18.345094,162.604873,0.314740,259.030000,304.984706,0.686278,0.854773
14/12/2009 12:00,20.162210,177.078068,0.344679,324.730000,339.432539,0.697442,0.962636
14/12/2009 13:00,19.369934,191.700234,0.331666,343.680000,324.674449,0.693287,1.000000
14/12/2009 14:00,16.056576,205.746104,0.276586,302.080000,261.122550,0.668615,1.000000
15/12/2009 10:00,14.021626,148.864657,0.242288,119.840000,223.689530,0.653736,0.539429
15/12/2009 11:00,18.264639,162.512515,0.313406,265.530000,304.957620,0.688996,0.876316
15/12/2009 12:00,20.099791,176.970318,0.343656,334.800000,340.276566,0.701116,0.990037
15/12/2009 13:00,19.328089,191.582453,0.330977,354.580000,325.442853,0.696234,1.000000
15/12/2009 14:00,16.035444,205.624652,0.276232,313.130000,262.362579,0.672516,1.000000
16/12/2009 10:00,13.933906,148.786139,0.240802,122.270000,222.521865,0.654209,0.553268
16/12/2009 11:00,18.191399,162.417706,0.312192,264.280000,304.518577,0.690547,0.873463
16/12/2009 12:00,20.044888,176.861573,0.342756,332.100000,340.671974,0.703638,0.980924
16/12/2009 13:00,19.293806,191.465198,0.330412,354.730000,326.551518,0.699665,1.000000
16/12/2009 14:00,16.021680,205.505091,0.276001,313.300000,263.145523,0.674958,1.000000
17/12/2009 10:00,13.852958,148.704032,0.239431,123.500000,221.521209,0.654878,0.561369
17/12/2009 11:00,18.125411,162.320516,0.311098,266.380000,304.144976,0.691999,0.881497
17/12/2009 12:00,19.997526,176.751906,0.341980,334.150000,340.493231,0.704737,0.987508
17/12/2009 13:00,19.267096,191.348543,0.329972,296.150000,326.269814,0.699866,0.913436
17/12/2009 14:00,16.015285,205.387499,0.275894,295.180000,265.101759,0.680116,1.000000
18/12/2009 10:00,13.778830,148.618401,0.238175,121.660000,222.739882,0.661839,0.549991
18/12/2009 11:00,18.066714,162.221013,0.310124,271.100000,306.771768,0.700046,0.889440
18/12/2009 12:00,19.957730,176.641386,0.341327,335.680000,342.545240,0.710218,0.986090
18/12/2009 13:00,19.247972,191.232560,0.329657,353.330000,328.986552,0.706247,1.000000
18/12/2009 14:00,16.016255,205.271949,0.275910,312.730000,266.060534,0.682419,1.000000
