az,el
5,22.89391
10,23.4294
15,26.54417
20,26.72249
25,27.15135
30,27.70649
35,27.99519
40,26.81333
45,26.81333
50,24.96082
55,24.96082
60,19.36211
65,19.36211
70,19.36211
75,19.36211
80,12.22719
85,11.46498
90,11.43205
95,9.807646
100,9.815389
105,7.778264
110,4.431858
115,3.388818
120,2.611131
125,0.23051
130,1.084095
135,3.055089
140,6.503103
145,9.911749
150,10.82396
155,13.23511
160,12.86774
165,14.67404
170,13.3651
175,14.31256
180,12.44164
185,12.5455
190,13.71145
195,14.74553
200,13.57276
205,12.76379
210,10.99661
215,11.44685
220,13.30111
225,12.59484
230,16.9092
235,16.9092
240,16.9092
245,35.41663
250,35.41663
255,35.41663
260,35.41663
265,35.41663
270,35.41663
275,35.41663
280,35.41663
285,35.41663
290,35.41663
295,35.41663
300,35.41663
305,33.59598
310,33.59598
315,32.23964
320,31.01851
325,28.90763
330,28.16732
335,23.73486
340,20.76831
345,19.06627
350,19.85652
355,20.5788
360,21.8971
