az,el
5,23.60253
10,21.29615
15,21.10644
20,21.10644
25,19.51421
30,19.51421
35,23.43161
40,23.43161
45,23.43161
50,26.10757
55,26.10757
60,26.38886
65,26.38886
70,26.90119
75,26.48158
80,26.22677
85,25.67634
90,21.63988
95,21.63988
100,17.79874
105,17.79874
110,14.30243
115,13.39983
120,11.85353
125,13.32176
130,15.04546
135,14.1055
140,14.85532
145,14.65556
150,14.40025
155,15.13547
160,17.30189
165,17.97826
170,19.74696
175,21.83906
180,21.83906
185,21.83906
190,21.83906
195,22.29986
200,22.29986
205,22.29986
210,22.29986
215,21.55245
220,21.55245
225,21.55245
230,21.55245
235,21.55245
240,16.78803
245,14.998
250,11.9476
255,11.9476
260,10.96178
265,5.852744
270,7.505978
275,8.038206
280,8.354826
285,9.359806
290,10.08671
295,10.73057
300,11.57767
305,13.10619
310,13.88256
315,13.59119
320,18.23115
325,18.23115
330,20.19602
335,21.03875
340,23.41579
345,23.25409
350,23.41887
355,23.41887
360,23.60253
