Date,JDfrom0,Iprec,RH,AirT,Swglob,CloudTrans
15/10/2010 00:00,734426,0,56.35,5.28,0,0.837917
15/10/2010 01:00,734426.041667,0,56.26,5.08,0,0.814763
15/10/2010 02:00,734426.083333,0,52.92,5.16,0,0.791608
15/10/2010 03:00,734426.125,0,57.34,4.72,0,0.768453
15/10/2010 04:00,734426.166667,0,54.55,4.3,0,0.745299
15/10/2010 05:00,734426.208333,0,53.6,4.31,0,0.722144
15/10/2010 06:00,734426.25,0,52.28,4.07,0,0.698989
15/10/2010 07:00,734426.291667,0,53.79,3.41,5.34,0.675835
15/10/2010 08:00,734426.333333,0,50.04,3.72,50.71,0.65268
15/10/2010 09:00,734426.375,0,49.92,5.83,282.05,0.65268
15/10/2010 10:00,734426.416667,0,56.22,6.75,432.95,0.65268
15/10/2010 11:00,734426.458333,0,55.42,7.44,544.68,0.992627
15/10/2010 12:00,734426.5,0,58.7,8.19,602.6,0.992627
15/10/2010 13:00,734426.541667,0,51.68,9.08,604.75,0.992627
15/10/2010 14:00,734426.583333,0,50.28,9.94,546.58,1
15/10/2010 15:00,734426.625,0,48.3,10.09,439.35,1
15/10/2010 16:00,734426.666667,0,54.23,10,290.1,1
15/10/2010 17:00,734426.708333,0,54.72,9.26,128.7,1
15/10/2010 18:00,734426.75,0,65.48,6.82,7.84,0.960385
15/10/2010 19:00,734426.791667,0,67.11,5.64,0,0.920769
15/10/2010 20:00,734426.833333,0,69.17,5.15,0,0.881154
15/10/2010 21:00,734426.875,0,71.58,4.69,0,0.841539
15/10/2010 22:00,734426.916667,0,73.61,4.27,0,0.801924
15/10/2010 23:00,734426.958333,0,74.75,3.94,0,0.762308
16/10/2010 00:00,734427,0,76.04,3.63,0,0.722693
16/10/2010 01:00,734427.041667,0,77.09,3.33,0,0.683078
16/10/2010 02:00,734427.083333,0,77.48,3.03,0,0.643463
16/10/2010 03:00,734427.125,0,77.01,2.67,0,0.603847
16/10/2010 04:00,734427.166667,0,69.87,2.48,0,0.564232
16/10/2010 05:00,734427.208333,0,67.97,2.27,0,0.524617
16/10/2010 06:00,734427.25,0,70.13,2.39,0,0.485002
16/10/2010 07:00,734427.291667,0,74.01,2.33,9.44,0.445386
16/10/2010 08:00,734427.333333,0,74.23,2.47,46.01,0.405771
16/10/2010 09:00,734427.375,0,70.37,3.45,118.53,0.405771
16/10/2010 10:00,734427.416667,0,72.78,4.25,299.7,0.405771
16/10/2010 11:00,734427.458333,0,69.69,4.91,384.8,0.504551
16/10/2010 12:00,734427.5,0,74.24,4.73,243.98,0.504551
16/10/2010 13:00,734427.541667,0,78.71,4.5,217.08,0.504551
16/10/2010 14:00,734427.583333,0,84.38,4.31,139.55,0.260759
16/10/2010 15:00,734427.625,0,84.38,4.21,80.21,0.260759
16/10/2010 16:00,734427.666667,0,85.98,3.72,53.43,0.260759
16/10/2010 17:00,734427.708333,0,88.7,3.43,26.9,0.260759
16/10/2010 18:00,734427.75,0,93.23,2.84,3.3,0.261038
16/10/2010 19:00,734427.791667,0,90.85,2.67,0,0.261316
16/10/2010 20:00,734427.833333,0,86.59,2.75,0,0.261594
16/10/2010 21:00,734427.875,0,87.63,2.89,0,0.261873
16/10/2010 22:00,734427.916667,0,89.25,2.56,0,0.262151
16/10/2010 23:00,734427.958333,0,93.5,2.19,0,0.262429
17/10/2010 00:00,734428,0,95.75,1.76,0.03,0.262708
17/10/2010 01:00,734428.041667,0,96.03,1.45,0,0.262986
17/10/2010 02:00,734428.083333,0,95.75,1.23,0,0.263264
17/10/2010 03:00,734428.125,0,97.2,1.17,0,0.263543
17/10/2010 04:00,734428.166667,0,98.93,0.73,0,0.263821
17/10/2010 05:00,734428.208333,0,98.03,0.71,0,0.264099
17/10/2010 06:00,734428.25,0,96.25,0.75,0,0.264378
17/10/2010 07:00,734428.291667,0,98.98,0.48,3.15,0.264656
17/10/2010 08:00,734428.333333,0,99.63,0.48,27.51,0.264934
17/10/2010 09:00,734428.375,0,97.78,0.95,110.28,0.264934
17/10/2010 10:00,734428.416667,0.1,94.53,1.52,150.3,0.264934
17/10/2010 11:00,734428.458333,0,87.75,1.97,192,0.415414
17/10/2010 12:00,734428.5,0,88.73,2.56,249.25,0.415414
17/10/2010 13:00,734428.541667,0,88.2,3.12,250.15,0.415414
17/10/2010 14:00,734428.583333,0,86.78,3.14,170.8,0.520493
17/10/2010 15:00,734428.625,0,83.58,3.57,206.58,0.520493
17/10/2010 16:00,734428.666667,0,82.95,3.67,120.1,0.520493
17/10/2010 17:00,734428.708333,0,88,3.31,48.88,0.520493
17/10/2010 18:00,734428.75,0,86.45,2.99,6.73,0.521808
17/10/2010 19:00,734428.791667,0,87.35,2.76,0,0.523122
17/10/2010 20:00,734428.833333,0,86.73,2.52,0,0.524436
17/10/2010 21:00,734428.875,0,85.7,2.5,0,0.52575
17/10/2010 22:00,734428.916667,0,85.88,2.43,0,0.527064
17/10/2010 23:00,734428.958333,0,84.43,2.4,0,0.528378
18/10/2010 00:00,734429,0,84.8,1.64,0,0.529692
18/10/2010 01:00,734429.041667,0,84.7,1.19,0,0.531006
18/10/2010 02:00,734429.083333,0,80.06,1.23,0,0.532321
18/10/2010 03:00,734429.125,0,78.91,1.37,0,0.533635
18/10/2010 04:00,734429.166667,0,75.35,1.86,0,0.534949
18/10/2010 05:00,734429.208333,0,76.67,1.95,0,0.536263
18/10/2010 06:00,734429.25,0,75.34,1.92,0,0.537577
18/10/2010 07:00,734429.291667,0,73.49,1.94,3.04,0.538891
18/10/2010 08:00,734429.333333,0,69.47,2.55,71.02,0.540205
18/10/2010 09:00,734429.375,0,54.23,4.1,270.03,0.540205
18/10/2010 10:00,734429.416667,0,56,3.78,203.18,0.540205
18/10/2010 11:00,734429.458333,0,55.8,4.71,344.6,0.548804
18/10/2010 12:00,734429.5,0,53.91,5.09,277.88,0.548804
18/10/2010 13:00,734429.541667,0,53.07,5.37,286.85,0.548804
18/10/2010 14:00,734429.583333,0,51.87,6.17,444.35,0.9826
18/10/2010 15:00,734429.625,0,47.84,6.92,523.93,0.9826
18/10/2010 16:00,734429.666667,0,50.02,6.03,306.6,0.9826
18/10/2010 17:00,734429.708333,0,55.01,4.44,43.93,0.9826
18/10/2010 18:00,734429.75,0,56.74,3.69,5.4,0.956381
18/10/2010 19:00,734429.791667,0,59.23,3.16,0,0.930161
18/10/2010 20:00,734429.833333,0,58.21,2.95,0,0.903941
18/10/2010 21:00,734429.875,0,59.21,2.79,0,0.877721
18/10/2010 22:00,734429.916667,0,62.92,2.13,0,0.851502
18/10/2010 23:00,734429.958333,0,59.39,2.27,0,0.825282
19/10/2010 00:00,734430,0,61.15,1.98,0,0.799062
19/10/2010 01:00,734430.041667,0,65.65,1.74,0,0.772842
19/10/2010 02:00,734430.083333,0,67.8,0.91,0,0.746622
19/10/2010 03:00,734430.125,0,69.87,0.65,0,0.720403
19/10/2010 04:00,734430.166667,0,70.76,0.29,0,0.694183
19/10/2010 05:00,734430.208333,0,70.57,0.24,0,0.667963
19/10/2010 06:00,734430.25,0,66.88,0.29,0,0.641743
19/10/2010 07:00,734430.291667,0,63.37,0.51,3.18,0.615524
19/10/2010 08:00,734430.333333,0,41.83,3.31,32,0.589304
19/10/2010 09:00,734430.375,0,35.35,5.03,253.93,0.589304
19/10/2010 10:00,734430.416667,0,25.41,6.46,391.28,0.589304
19/10/2010 11:00,734430.458333,0,23.25,8.01,510.7,0.969406
19/10/2010 12:00,734430.5,0,23.85,8.95,558.98,0.969406
19/10/2010 13:00,734430.541667,0,24.14,9.58,574.1,0.969406
19/10/2010 14:00,734430.583333,0,25.82,10.08,487.68,1
19/10/2010 15:00,734430.625,0,25.54,10.32,419.8,1
19/10/2010 16:00,734430.666667,0,25.93,10.39,278.23,1
19/10/2010 17:00,734430.708333,0,26.29,9.42,100.19,1
19/10/2010 18:00,734430.75,0,26.89,7.88,3.44,0.967711
19/10/2010 19:00,734430.791667,0,30.97,6.19,0,0.935422
19/10/2010 20:00,734430.833333,0,34.44,5.36,0,0.903133
19/10/2010 21:00,734430.875,0,35.74,5.33,0,0.870844
19/10/2010 22:00,734430.916667,0,41.72,4.59,0,0.838555
19/10/2010 23:00,734430.958333,0,44.08,4.33,0,0.806266
20/10/2010 00:00,734431,0,48.59,3.89,0,0.773977
20/10/2010 01:00,734431.041667,0,50.57,3,0,0.741688
20/10/2010 02:00,734431.083333,0,53.24,2.48,0,0.709399
20/10/2010 03:00,734431.125,0,52.51,2.67,0,0.67711
20/10/2010 04:00,734431.166667,0,51.96,2.81,0,0.644821
20/10/2010 05:00,734431.208333,0,61.08,1.59,0,0.612532
20/10/2010 06:00,734431.25,0,73.26,2.15,0,0.580243
